Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,rsi,macd,ema,williams_r,roc,adx,shortName,sector,industry,marketCap,forwardPE,trailingPE,priceToBook,fiftyTwoWeekHigh,fiftyTwoWeekLow,dividendYield,returnOnEquity,earningsQuarterlyGrowth,grossMargins
2018-02-07 00:00:00-05:00,38.274771315321885,38.34752308385404,37.33134030395795,37.4416389465332,206434400,0.0,0.0,31.744592933185416,-0.8215541695014252,39.08399256704976,-78.34238312783593,-9.864405870664148,0.0,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2018-02-08 00:00:00-05:00,37.61764984878874,37.78427774242691,36.38320827506247,36.41136932373047,217562000,0.0,0.0,27.29622998166193,-0.9590448415908456,38.72764280127386,-95.47954203022732,-12.36444408290589,0.0,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2018-02-09 00:00:00-05:00,37.01225968224657,37.20548409077683,35.402825738060095,36.85673522949219,282690400,0.1575,0.0,31.74861465702004,-1.020308403120481,38.47818845836965,-78.32911820119843,-9.856637696395552,32.68769110981041,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2018-02-12 00:00:00-05:00,37.34922082039222,38.61932982623296,37.11593417195319,38.34127426147461,243278000,0.0,0.0,44.04863362778773,-0.938254707714954,38.459933232116974,-52.6576154781628,-4.521407491417937,32.822916306932974,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2018-02-13 00:00:00-05:00,38.16218855968927,38.82198631481388,38.09149530099583,38.725372314453125,130196800,0.0,0.0,46.723869931049904,-0.8326349625560354,38.495325109761794,-41.24893838992713,-3.789827956345197,32.6891562483904,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2018-02-14 00:00:00-05:00,38.41902113700053,39.479408785649966,38.381321197709866,39.43935012817383,162579600,0.0,0.0,51.37773642050551,-0.6834402373335067,38.62119511221673,-18.66732303947654,0.0550076671049021,31.75934252523364,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2018-02-15 00:00:00-05:00,40.009615319931726,40.7872338950908,39.82345990009944,40.763671875,204588800,0.0,0.0,58.60144064101119,-0.4531173903344765,38.90685868058783,-0.4375972140974128,4.027870949955126,29.56439331883275,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2018-02-16 00:00:00-05:00,40.61520937144973,41.19488961852027,40.47618161148825,40.6317024230957,160704400,0.0,0.0,57.68177912228638,-0.2780287640303385,39.13683784625555,-9.723428592086302,3.4061831737731643,27.73767505466074,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2018-02-20 00:00:00-05:00,40.54216089165014,41.06292710816683,40.39370544922957,40.49503326416016,135722000,0.0,0.0,56.68956671865788,-0.1485850294446891,39.31793056864284,-12.083022024689836,2.843393075434569,25.961876680110432,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2018-02-21 00:00:00-05:00,40.72596553556844,41.029941821835656,40.29709580939052,40.31123733520508,149886400,0.0,0.0,55.31161997690943,-0.0601375048917276,39.45037147085114,-15.256259280845285,7.020232607128101,24.21495719178292,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2018-02-22 00:00:00-05:00,40.48325628570477,40.98988464646129,40.4620493896228,40.6482048034668,123967600,0.0,0.0,57.358077981320285,0.0367249121537369,39.61008258186656,-9.438514946248151,10.680106694808392,22.592817666907365,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
