Date,Actual_Close,Predicted_Trend,ARIMA_Forecast
2022-10-26 00:00:00-04:00,147.19593811035156,1,149.9395279391133
2022-10-27 00:00:00-04:00,142.71157836914062,0,147.18227171725385
2022-10-28 00:00:00-04:00,153.49378967285156,0,143.06141135279668
2022-10-31 00:00:00-04:00,151.12840270996094,0,153.29648671502616
2022-11-01 00:00:00-04:00,148.4771728515625,0,151.1504117663804
2022-11-02 00:00:00-04:00,142.93826293945312,1,148.39430451665805
2022-11-03 00:00:00-04:00,136.87696838378906,0,143.02435534038125
2022-11-04 00:00:00-04:00,136.6104278564453,0,137.71450881688497
2022-11-07 00:00:00-05:00,137.14349365234375,1,136.74924543071896
2022-11-08 00:00:00-05:00,137.71612548828125,0,137.12217634046226
2022-11-09 00:00:00-05:00,133.14529418945312,0,137.4861806320224
2022-11-10 00:00:00-05:00,144.9918212890625,0,133.05964835145656
2022-11-11 00:00:00-05:00,147.78564453125,1,144.62213672286236
2022-11-14 00:00:00-05:00,146.3837890625,1,147.47925446630785
2022-11-15 00:00:00-05:00,148.1212921142578,1,146.2595561601418
2022-11-16 00:00:00-05:00,146.8872833251953,0,147.82371166337606
2022-11-17 00:00:00-05:00,148.7926025390625,1,147.3757957894632
2022-11-18 00:00:00-05:00,149.3552703857422,1,148.84262967790818
2022-11-21 00:00:00-05:00,146.1172332763672,0,149.24237899165843
2022-11-22 00:00:00-05:00,148.259521484375,0,146.27838789416714
2022-11-23 00:00:00-05:00,149.1381378173828,1,148.18888496951936
2022-11-25 00:00:00-05:00,146.21597290039062,0,149.17013645336343
2022-11-28 00:00:00-05:00,142.375732421875,1,146.31502545447847
2022-11-29 00:00:00-05:00,139.3647003173828,0,142.44308852582427
2022-11-30 00:00:00-05:00,146.13699340820312,1,139.69065293412476
2022-12-01 00:00:00-05:00,146.41342163085938,1,146.0421409669151
2022-12-02 00:00:00-05:00,145.91981506347656,1,146.18083355103516
2022-12-05 00:00:00-05:00,144.7549285888672,1,145.70256535198328
2022-12-06 00:00:00-05:00,141.0824737548828,0,144.6619083477271
2022-12-07 00:00:00-05:00,139.13768005371094,0,141.5275022877364
2022-12-08 00:00:00-05:00,140.82577514648438,0,139.3264285878137
2022-12-09 00:00:00-05:00,140.34207153320312,0,140.83824477304898
2022-12-12 00:00:00-05:00,142.64230346679688,0,140.31353694091086
2022-12-13 00:00:00-05:00,143.60975646972656,0,142.4035434565282
2022-12-14 00:00:00-05:00,141.3786163330078,1,143.4408085353883
2022-12-15 00:00:00-05:00,134.7544403076172,1,141.4816170942806
2022-12-16 00:00:00-05:00,132.78990173339844,1,135.02137116065157
2022-12-19 00:00:00-05:00,130.67727661132812,1,133.13767352278236
2022-12-20 00:00:00-05:00,130.608154296875,1,130.93723704147325
2022-12-21 00:00:00-05:00,133.71786499023438,1,130.62116831558362
2022-12-22 00:00:00-05:00,130.53904724121094,1,133.36928812470492
2022-12-23 00:00:00-05:00,130.1737823486328,1,130.51905958669414
2022-12-27 00:00:00-05:00,128.36720275878906,1,130.13774617633143
2022-12-28 00:00:00-05:00,124.42821502685548,1,128.47197560290056
2022-12-29 00:00:00-05:00,127.95256805419922,1,124.76328829727959
2022-12-30 00:00:00-05:00,128.26846313476562,0,127.80637272142204
2023-01-03 00:00:00-05:00,123.47061920166016,1,128.21693540973328
2023-01-04 00:00:00-05:00,124.74412536621094,0,123.54509358004529
2023-01-05 00:00:00-05:00,123.42124938964844,1,124.6323212872915
2023-01-06 00:00:00-05:00,127.96243286132812,1,123.64423366041011
2023-01-09 00:00:00-05:00,128.4856719970703,0,127.83256665564625
2023-01-10 00:00:00-05:00,129.05821228027344,1,128.17970004117478
2023-01-11 00:00:00-05:00,131.78294372558594,0,129.02118371203846
2023-01-12 00:00:00-05:00,131.70396423339844,1,131.5878448093319
2023-01-13 00:00:00-05:00,133.0366973876953,0,131.81563664443195
2023-01-17 00:00:00-05:00,134.2016143798828,1,132.97078568722603
2023-01-18 00:00:00-05:00,133.48095703125,1,134.13927336347876
2023-01-19 00:00:00-05:00,133.54019165039062,1,133.57358885656686
2023-01-20 00:00:00-05:00,136.10693359375,1,133.53155148183467
2023-01-23 00:00:00-05:00,139.30551147460938,1,136.06490152461927
2023-01-24 00:00:00-05:00,140.7073516845703,0,139.1708012692316
2023-01-25 00:00:00-05:00,140.04591369628906,0,140.51635505043993
2023-01-26 00:00:00-05:00,142.1190643310547,1,139.9900588381812
2023-01-27 00:00:00-05:00,144.06385803222656,1,142.12722788542723
2023-01-30 00:00:00-05:00,141.17132568359375,1,144.07170592457715
2023-01-31 00:00:00-05:00,142.44479370117188,1,141.26911073557216
2023-02-01 00:00:00-05:00,143.57022094726562,1,142.4039860444192
2023-02-02 00:00:00-05:00,148.89134216308594,1,143.61008707635696
2023-02-03 00:00:00-05:00,152.52427673339844,0,148.73220775419642
2023-02-06 00:00:00-05:00,149.78968811035156,0,152.124854620363
2023-02-07 00:00:00-05:00,152.67234802246094,0,149.78813443365655
2023-02-08 00:00:00-05:00,149.9772491455078,0,152.60334182522823
2023-02-09 00:00:00-05:00,148.940673828125,1,150.2482838275764
2023-02-10 00:00:00-05:00,149.30650329589844,1,149.16200018057253
2023-02-13 00:00:00-05:00,152.11448669433594,1,149.23122462752212
2023-02-14 00:00:00-05:00,151.47181701660156,1,152.13656425268059
